,id,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,coordinates,bedrooms_bathrooms,sqft_lot_sqft_living,sqft_living_sqft_living15,sqft_living_bedrooms,grade_category
6405,3905080280,3,2.5,1880,4499,2.0,Average,8,1880,0.0,1993,0.0,2130,5114,"[47.5664, -121.999]",1.2,2.3930851063829786,0.8826291079812206,626.6666666666666,medium
937,5466420030,3,2.5,2020,6564,1.0,Average,7,1310,710.0,1994,0.0,1710,5151,"[47.3545, -122.158]",1.2,3.2495049504950497,1.1812865497076024,673.3333333333334,medium
19076,2623069010,5,4.0,4720,493534,2.0,Very Good,9,3960,760.0,1975,0.0,2160,219542,"[47.4536, -122.009]",1.25,104.56228813559322,2.185185185185185,944.0,medium
15201,4443800545,2,2.0,1430,3880,1.0,Good,7,1430,0.0,1949,0.0,1430,3880,"[47.6844, -122.392]",1.0,2.7132867132867133,1.0,715.0,medium
13083,9485930120,3,2.25,2270,32112,1.0,Good,8,1740,530.0,1980,0.0,2310,41606,"[47.3451, -122.094]",1.3333333333333333,14.146255506607929,0.9826839826839827,756.6666666666666,medium
16852,7841300285,1,1.5,1048,4800,1.0,Average,7,1048,0.0,1942,0.0,950,4800,"[47.4759, -122.212]",0.6666666666666666,4.580152671755725,1.1031578947368421,1048.0,medium
8147,7861000021,3,1.75,1820,78408,1.0,Average,6,1220,600.0,1950,0.0,1340,78408,"[47.3364, -122.128]",1.7142857142857142,43.081318681318685,1.3582089552238805,606.6666666666666,low
5662,4128500380,4,2.5,4280,12796,2.0,Average,11,3400,880.0,1999,0.0,3520,9593,"[47.5588, -122.124]",1.6,2.9897196261682244,1.2159090909090908,1070.0,high
2134,4219400520,4,2.25,3040,5000,2.0,Good,9,2080,960.0,1926,0.0,2870,5000,"[47.6565, -122.278]",1.7777777777777777,1.644736842105263,1.0592334494773519,760.0,medium
4965,9274200314,3,2.5,1740,1279,3.0,Average,8,1740,0.0,2008,0.0,1740,1280,"[47.5891, -122.387]",1.2,0.7350574712643678,1.0,580.0,medium
