,id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,coordinates,bedrooms_bathrooms,sqft_lot_sqft_living,sqft_living_sqft_living15,sqft_living_bedrooms,grade_category
0,7129300520,221900.0,3,1.0,1180,5650,1.0,Average,7,1180,0.0,1955,0.0,1340,5650,"[47.5112, -122.257]",3.0,4.788135593220339,0.8805970149253731,393.3333333333333,medium
1,6414100192,538000.0,3,2.25,2570,7242,2.0,Average,7,2170,400.0,1951,1991.0,1690,7639,"[47.721, -122.319]",1.3333333333333333,2.817898832684825,1.5207100591715976,856.6666666666666,medium
2,5631500400,180000.0,2,1.0,770,10000,1.0,Average,6,770,0.0,1933,0.0,2720,8062,"[47.7379, -122.233]",2.0,12.987012987012987,0.28308823529411764,385.0,low
3,2487200875,604000.0,4,3.0,1960,5000,1.0,Very Good,7,1050,910.0,1965,0.0,1360,5000,"[47.5208, -122.393]",1.3333333333333333,2.5510204081632653,1.4411764705882353,490.0,medium
4,1954400510,510000.0,3,2.0,1680,8080,1.0,Average,8,1680,0.0,1987,0.0,1800,7503,"[47.6168, -122.045]",1.5,4.809523809523809,0.9333333333333333,560.0,medium
5,7237550310,1230000.0,4,4.5,5420,101930,1.0,Average,11,3890,1530.0,2001,0.0,4760,101930,"[47.6561, -122.005]",0.8888888888888888,18.80627306273063,1.138655462184874,1355.0,high
6,1321400060,257500.0,3,2.25,1715,6819,2.0,Average,7,1715,0.0,1995,0.0,2238,6819,"[47.3097, -122.327]",1.3333333333333333,3.9760932944606413,0.7663092046470062,571.6666666666666,medium
7,2008000270,291850.0,3,1.5,1060,9711,1.0,Average,7,1060,0.0,1963,0.0,1650,9711,"[47.4095, -122.315]",2.0,9.16132075471698,0.6424242424242425,353.3333333333333,medium
8,2414600126,229500.0,3,1.0,1780,7470,1.0,Average,7,1050,730.0,1960,0.0,1780,8113,"[47.5123, -122.337]",3.0,4.196629213483146,1.0,593.3333333333334,medium
9,3793500160,323000.0,3,2.5,1890,6560,2.0,Average,7,1890,0.0,2003,0.0,2390,7570,"[47.3684, -122.031]",1.2,3.4708994708994707,0.7907949790794979,630.0,medium
10,1736800520,662500.0,3,2.5,3560,9796,1.0,Average,8,1860,1700.0,1965,0.0,2210,8925,"[47.6007, -122.145]",1.2,2.751685393258427,1.6108597285067874,1186.6666666666667,medium
11,9212900260,468000.0,2,1.0,1160,6000,1.0,Good,7,860,300.0,1942,0.0,1330,6000,"[47.69, -122.292]",2.0,5.172413793103448,0.8721804511278195,580.0,medium
12,114101516,310000.0,3,1.0,1430,19901,1.5,Good,7,1430,0.0,1927,0.0,1780,12697,"[47.7558, -122.229]",3.0,13.916783216783216,0.8033707865168539,476.6666666666667,medium
13,6054650070,400000.0,3,1.75,1370,9680,1.0,Good,7,1370,0.0,1977,0.0,1370,10208,"[47.6127, -122.045]",1.7142857142857142,7.065693430656935,1.0,456.6666666666667,medium
14,1175000570,530000.0,5,2.0,1810,4850,1.5,Average,7,1810,0.0,1900,0.0,1360,4850,"[47.67, -122.394]",2.5,2.679558011049724,1.3308823529411764,362.0,medium
15,9297300055,650000.0,4,3.0,2950,5000,2.0,Average,9,1980,970.0,1979,0.0,2140,4000,"[47.5714, -122.375]",1.3333333333333333,1.694915254237288,1.3785046728971964,737.5,medium
16,1875500060,395000.0,3,2.0,1890,14040,2.0,Average,7,1890,0.0,1994,0.0,1890,14018,"[47.7277, -121.962]",1.5,7.428571428571429,1.0,630.0,medium
17,6865200140,485000.0,4,1.0,1600,4300,1.5,Good,7,1600,0.0,1916,0.0,1610,4300,"[47.6648, -122.343]",4.0,2.6875,0.9937888198757764,400.0,medium
18,16000397,189000.0,2,1.0,1200,9850,1.0,Good,7,1200,0.0,1921,0.0,1060,5095,"[47.3089, -122.21]",2.0,8.208333333333334,1.1320754716981132,600.0,medium
19,7983200060,230000.0,3,1.0,1250,9774,1.0,Good,7,1250,0.0,1969,0.0,1280,8850,"[47.3343, -122.306]",3.0,7.8192,0.9765625,416.6666666666667,medium
20,6300500875,385000.0,4,1.75,1620,4980,1.0,Good,7,860,760.0,1947,0.0,1400,4980,"[47.7025, -122.341]",2.2857142857142856,3.074074074074074,1.1571428571428573,405.0,medium
21,2524049179,2000000.0,3,2.75,3050,44867,1.0,Average,9,2330,720.0,1968,0.0,4110,20336,"[47.5316, -122.233]",1.0909090909090908,14.710491803278689,0.7420924574209246,1016.6666666666666,medium
22,7137970340,285000.0,5,2.5,2270,6300,2.0,Average,8,2270,0.0,1995,0.0,2240,7005,"[47.3266, -122.169]",2.0,2.7753303964757707,1.0133928571428572,454.0,medium
23,8091400200,252700.0,2,1.5,1070,9643,1.0,Average,7,1070,0.0,1985,0.0,1220,8386,"[47.3533, -122.166]",1.3333333333333333,9.01214953271028,0.8770491803278688,535.0,medium
24,3814700200,329000.0,3,2.25,2450,6500,2.0,Good,8,2450,0.0,1985,0.0,2200,6865,"[47.3739, -122.172]",1.3333333333333333,2.6530612244897958,1.1136363636363635,816.6666666666666,medium
25,1202000200,233000.0,3,2.0,1710,4697,1.5,Very Good,6,1710,0.0,1941,0.0,1030,4705,"[47.3048, -122.218]",1.5,2.7467836257309943,1.6601941747572815,570.0,low
26,1794500383,937000.0,3,1.75,2450,2691,2.0,Average,8,1750,700.0,1915,0.0,1760,3573,"[47.6386, -122.36]",1.7142857142857142,1.0983673469387756,1.3920454545454546,816.6666666666666,medium
27,3303700376,667000.0,3,1.0,1400,1581,1.5,Very Good,8,1400,0.0,1909,0.0,1860,3861,"[47.6221, -122.314]",3.0,1.1292857142857142,0.7526881720430108,466.6666666666667,medium
28,5101402488,438000.0,3,1.75,1520,6380,1.0,Average,7,790,730.0,1948,0.0,1520,6235,"[47.695, -122.304]",1.7142857142857142,4.197368421052632,1.0,506.6666666666667,medium
29,1873100390,719000.0,4,2.5,2570,7173,2.0,Average,8,2570,0.0,2005,0.0,2630,6026,"[47.7073, -122.11]",1.6,2.7910505836575874,0.9771863117870723,642.5,medium
30,8562750320,580500.0,3,2.5,2320,3980,2.0,Average,8,2320,0.0,2003,0.0,2580,3980,"[47.5391, -122.07]",1.2,1.7155172413793103,0.8992248062015504,773.3333333333334,medium
31,2426039314,280000.0,2,1.5,1190,1265,3.0,Average,7,1190,0.0,2005,0.0,1390,1756,"[47.7274, -122.357]",1.3333333333333333,1.0630252100840336,0.8561151079136691,595.0,medium
32,461000390,687500.0,4,1.75,2330,5000,1.5,Good,7,1510,820.0,1929,0.0,1460,5000,"[47.6823, -122.368]",2.2857142857142856,2.1459227467811157,1.595890410958904,582.5,medium
33,7589200193,535000.0,3,1.0,1090,3000,1.5,Good,8,1090,0.0,1929,0.0,1570,5080,"[47.6889, -122.375]",3.0,2.7522935779816513,0.6942675159235668,363.3333333333333,medium
34,7955080270,322500.0,4,2.75,2060,6659,1.0,Average,7,1280,780.0,1981,0.0,2020,8720,"[47.4276, -122.157]",1.4545454545454546,3.2325242718446603,1.0198019801980198,515.0,medium
35,9547205180,696000.0,3,2.5,2300,3060,1.5,Average,8,1510,790.0,1930,2002.0,1590,3264,"[47.6827, -122.31]",1.2,1.3304347826086957,1.4465408805031446,766.6666666666666,medium
36,9435300030,550000.0,4,1.0,1660,34848,1.0,Poor,5,930,730.0,1933,0.0,2160,11467,"[47.6621, -122.132]",4.0,20.99277108433735,0.7685185185185185,415.0,low
37,2768000400,640000.0,4,2.0,2360,6000,2.0,Good,8,2360,0.0,1904,0.0,1730,4700,"[47.6702, -122.362]",2.0,2.542372881355932,1.3641618497109826,590.0,medium
38,7895500070,240000.0,4,1.0,1220,8075,1.0,Fair,7,890,330.0,1969,0.0,1290,7800,"[47.3341, -122.282]",4.0,6.618852459016393,0.9457364341085271,305.0,medium
39,2078500320,605000.0,4,2.5,2620,7553,2.0,Average,8,2620,0.0,1996,0.0,2620,11884,"[47.5301, -122.18]",1.6,2.882824427480916,1.0,655.0,medium
40,5547700270,625000.0,4,2.5,2570,5520,2.0,Average,9,2570,0.0,2000,0.0,2470,5669,"[47.6145, -122.027]",1.6,2.1478599221789882,1.040485829959514,642.5,medium
41,7766200013,775000.0,4,2.25,4220,24186,1.0,Average,8,2600,1620.0,1984,0.0,2410,30617,"[47.445, -122.347]",1.7777777777777777,5.731279620853081,1.7510373443983402,1055.0,medium
42,7203220400,861990.0,5,2.75,3595,5639,2.0,Average,9,3595,0.0,2014,0.0,3625,5639,"[47.6848, -122.016]",1.8181818181818181,1.568567454798331,0.9917241379310345,719.0,medium
43,9270200160,685000.0,3,1.0,1570,2280,2.0,Average,7,1570,0.0,1922,0.0,1580,2640,"[47.6413, -122.364]",3.0,1.4522292993630572,0.9936708860759493,523.3333333333334,medium
44,1432701230,309000.0,3,1.0,1280,9656,1.0,Good,6,920,360.0,1959,0.0,1340,8808,"[47.4485, -122.175]",3.0,7.54375,0.9552238805970149,426.6666666666667,low
45,8035350320,488000.0,3,2.5,3160,13603,2.0,Average,8,3160,0.0,2003,0.0,3050,9232,"[47.7443, -121.977]",1.2,4.304746835443038,1.0360655737704918,1053.3333333333333,medium
46,8945200830,210490.0,3,1.0,990,8528,1.0,Average,6,990,0.0,1966,0.0,1228,8840,"[47.3066, -122.371]",3.0,8.614141414141415,0.8061889250814332,330.0,low
47,4178300310,785000.0,4,2.5,2290,13416,2.0,Good,9,2290,0.0,1981,0.0,2680,13685,"[47.6194, -122.151]",1.6,5.858515283842795,0.8544776119402985,572.5,medium
48,9215400105,450000.0,3,1.75,1250,5963,1.0,Good,7,1250,0.0,1953,0.0,970,5100,"[47.6796, -122.301]",1.7142857142857142,4.7704,1.288659793814433,416.6666666666667,medium
49,822039084,1350000.0,3,2.5,2753,65005,1.0,Very Good,9,2165,588.0,1953,0.0,2680,72513,"[47.4041, -122.451]",1.2,23.61242281147839,1.0272388059701492,917.6666666666666,medium
50,5245600105,228000.0,3,1.0,1190,9199,1.0,Average,7,1190,0.0,1955,0.0,1190,9364,"[47.4258, -122.322]",3.0,7.730252100840336,1.0,396.6666666666667,medium
51,7231300125,345000.0,5,2.5,3150,9134,1.0,Good,8,1640,1510.0,1966,0.0,1990,9133,"[47.4934, -122.189]",2.0,2.89968253968254,1.5829145728643217,630.0,medium
52,7518505990,600000.0,3,1.75,1410,4080,1.0,Good,7,1000,410.0,1950,0.0,1410,4080,"[47.6808, -122.384]",1.7142857142857142,2.893617021276596,1.0,470.0,medium
53,3626039271,585000.0,2,1.75,1980,8550,1.0,Average,7,990,990.0,1981,0.0,1480,6738,"[47.6989, -122.369]",1.1428571428571428,4.318181818181818,1.337837837837838,990.0,medium
54,4217401195,920000.0,5,2.25,2730,6000,1.5,Average,8,2130,600.0,1927,0.0,2730,6000,"[47.6571, -122.281]",2.2222222222222223,2.197802197802198,1.0,546.0,medium
55,9822700295,885000.0,4,2.5,2830,5000,2.0,Average,9,2830,0.0,1995,0.0,1950,5000,"[47.6597, -122.29]",1.6,1.7667844522968197,1.4512820512820512,707.5,medium
56,9478500640,292500.0,4,2.5,2250,4495,2.0,Average,7,2250,0.0,2008,0.0,2250,4500,"[47.3663, -122.114]",1.6,1.9977777777777779,1.0,562.5,medium
57,2799800710,301000.0,3,2.5,2420,4750,2.0,Average,8,2420,0.0,2003,0.0,2690,4750,"[47.3663, -122.122]",1.2,1.962809917355372,0.8996282527881041,806.6666666666666,medium
58,7922800400,951000.0,5,3.25,3250,14342,2.0,Good,8,3250,0.0,1968,0.0,2960,11044,"[47.588, -122.116]",1.5384615384615385,4.412923076923077,1.097972972972973,650.0,medium
59,8079040320,430000.0,4,3.0,1850,9976,2.0,Average,8,1850,0.0,1991,0.0,2270,8542,"[47.5059, -122.149]",1.3333333333333333,5.392432432432432,0.8149779735682819,462.5,medium
60,1516000055,650000.0,3,2.25,2150,21235,1.0,Good,8,1590,560.0,1959,0.0,2570,18900,"[47.4336, -122.339]",1.3333333333333333,9.876744186046512,0.8365758754863813,716.6666666666666,medium
61,9558200045,289000.0,3,1.75,1260,8400,1.0,Average,7,1260,0.0,1954,0.0,1290,8750,"[47.4366, -122.335]",1.7142857142857142,6.666666666666667,0.9767441860465116,420.0,medium
62,5072410070,505000.0,3,1.75,2519,8690,2.0,Very Good,8,2519,0.0,1973,0.0,2500,9500,"[47.4428, -122.344]",1.7142857142857142,3.449781659388646,1.0076,839.6666666666666,medium
63,9528102996,549000.0,3,1.75,1540,1044,3.0,Average,8,1540,0.0,2014,0.0,1580,3090,"[47.6765, -122.32]",1.7142857142857142,0.6779220779220779,0.9746835443037974,513.3333333333334,medium
64,1189001180,425000.0,3,2.25,1660,6000,1.0,Average,7,1110,550.0,1979,0.0,1440,4080,"[47.6113, -122.297]",1.3333333333333333,3.6144578313253013,1.1527777777777777,553.3333333333334,medium
65,3253500160,317625.0,3,2.75,2770,3809,1.5,Very Good,7,1770,1000.0,1925,0.0,1440,4000,"[47.5747, -122.304]",1.0909090909090908,1.3750902527075812,1.9236111111111112,923.3333333333334,medium
66,3394100030,975000.0,4,2.5,2720,11049,2.0,Average,10,2720,0.0,1989,0.0,2750,11049,"[47.5815, -122.192]",1.6,4.062132352941177,0.9890909090909091,680.0,high
67,3717000160,287000.0,4,2.5,2240,4648,2.0,Average,7,2240,0.0,2005,0.0,2221,4557,"[47.3378, -122.257]",1.6,2.075,1.0085547050877983,560.0,medium
68,1274500060,204000.0,3,1.0,1000,12070,1.0,Good,7,1000,0.0,1968,0.0,1010,12635,"[47.3621, -122.11]",3.0,12.07,0.9900990099009901,333.3333333333333,medium
69,1802000060,1330000.0,5,2.25,3200,20158,1.0,Average,8,1600,1600.0,1965,0.0,3390,20158,"[47.6303, -122.215]",2.2222222222222223,6.299375,0.943952802359882,640.0,medium
70,1525059190,1040000.0,5,3.25,4770,50094,1.0,Good,11,3070,1700.0,1973,0.0,3530,38917,"[47.6525, -122.16]",1.5384615384615385,10.50188679245283,1.3512747875354107,954.0,high
71,1049000060,325000.0,3,2.0,1260,5612,1.0,Good,7,1260,0.0,1972,0.0,1640,4745,"[47.7362, -122.179]",1.5,4.453968253968254,0.7682926829268293,420.0,medium
72,8820901275,571000.0,4,2.0,2750,7807,1.5,Very Good,7,2250,500.0,1916,0.0,1510,7807,"[47.7168, -122.287]",2.0,2.838909090909091,1.8211920529801324,687.5,medium
73,5416510140,360000.0,4,2.5,2380,5000,2.0,Average,8,2380,0.0,2005,0.0,2420,5000,"[47.3608, -122.036]",1.6,2.100840336134454,0.9834710743801653,595.0,medium
74,3444100400,349000.0,3,1.75,1790,50529,1.0,Very Good,7,1090,700.0,1965,0.0,1940,50529,"[47.3511, -122.073]",1.7142857142857142,28.228491620111733,0.9226804123711341,596.6666666666666,medium
75,3276920270,832500.0,4,4.0,3430,35102,2.0,Good,10,2390,1040.0,1986,0.0,3240,35020,"[47.5822, -121.987]",1.0,10.233819241982507,1.058641975308642,857.5,high
76,4036801170,380000.0,4,1.75,1760,7300,1.0,Average,7,880,880.0,1956,0.0,1680,7500,"[47.6034, -122.125]",2.2857142857142856,4.1477272727272725,1.0476190476190477,440.0,medium
77,2391600320,480000.0,3,1.0,1040,5060,1.0,Average,7,1040,0.0,1941,0.0,890,5060,"[47.5636, -122.394]",3.0,4.865384615384615,1.1685393258426966,346.6666666666667,medium
78,6300000287,410000.0,3,1.0,1410,5060,1.0,Good,7,910,500.0,1956,0.0,1130,5693,"[47.7073, -122.34]",3.0,3.5886524822695036,1.247787610619469,470.0,medium
79,1531000030,720000.0,4,2.5,3450,39683,2.0,Average,10,3450,0.0,2002,0.0,3350,39750,"[47.342, -122.025]",1.6,11.50231884057971,1.0298507462686568,862.5,high
80,5104520400,390000.0,3,2.5,2350,5100,2.0,Average,8,2350,0.0,2003,0.0,2350,5363,"[47.3512, -122.008]",1.2,2.1702127659574466,1.0,783.3333333333334,medium
81,7437100340,360000.0,4,2.5,1900,5889,2.0,Average,7,1900,0.0,1992,0.0,1870,6405,"[47.349, -122.031]",1.6,3.099473684210526,1.0160427807486632,475.0,medium
