,price
6405,529000.0
937,253000.0
19076,745000.0
15201,545000.0
13083,390000.0
16852,199950.0
8147,309933.0
5662,1200000.0
2134,1740000.0
4965,568000.0
15929,305000.0
21154,235245.0
2774,212000.0
10448,855000.0
11257,619000.0
3119,765000.0
19825,272000.0
13139,575000.0
1210,470000.0
13278,605000.0
6417,445000.0
1085,550000.0
8573,520000.0
17561,763000.0
7132,605000.0
10734,287000.0
11983,175000.0
17876,440000.0
5811,153000.0
12030,513000.0
21554,330000.0
3379,783350.0
1318,432000.0
1769,400000.0
5459,347000.0
10363,443000.0
21225,620000.0
20783,290000.0
9514,365000.0
3562,299000.0
130,212000.0
20474,292000.0
18815,400000.0
4880,250000.0
14129,290000.0
4918,1940000.0
18538,339000.0
1623,192000.0
15376,524950.0
1825,360000.0
17541,545400.0
10881,312620.0
8109,499000.0
13205,265000.0
7431,325000.0
12667,590000.0
4602,467000.0
14092,275000.0
9997,418000.0
19429,872500.0
2216,782000.0
2995,896000.0
3792,169500.0
6847,772500.0
20355,745000.0
13899,480000.0
8570,437850.0
14660,696500.0
6916,208000.0
14835,420000.0
9360,925000.0
3940,577000.0
11481,225000.0
11225,468000.0
4751,372977.0
6518,254000.0
7530,410000.0
13104,549950.0
13410,720000.0
5379,638000.0
3223,299000.0
5800,535000.0
19015,482000.0
16298,198500.0
449,520000.0
2264,210000.0
11717,1580000.0
13314,452500.0
9559,300000.0
14469,785000.0
12296,429000.0
9558,268000.0
535,358000.0
18338,246500.0
10406,359000.0
1836,1100000.0
6440,474905.0
9234,505000.0
9542,435000.0
10781,521000.0
12434,750000.0
1890,300000.0
10127,678000.0
5203,685000.0
7796,299500.0
18821,685000.0
18420,589000.0
20387,160797.0
8813,357000.0
1688,576000.0
18248,148900.0
19416,565000.0
4614,291700.0
11993,1300000.0
12586,300000.0
7912,585000.0
2449,265000.0
7850,582000.0
5117,210000.0
14073,830000.0
4822,195000.0
6434,595000.0
454,811000.0
19248,372000.0
19675,319000.0
15026,200000.0
3852,535000.0
182,589000.0
6051,650000.0
15634,342500.0
19616,580000.0
15218,359000.0
20998,284000.0
99,437500.0
5937,554000.0
8196,330000.0
3742,320000.0
9924,1280000.0
2764,645000.0
833,662500.0
10902,463000.0
7327,483000.0
1707,550000.0
254,245000.0
13771,402000.0
7870,360000.0
1302,275000.0
13791,253200.0
15377,424900.0
9224,733000.0
13538,528000.0
12578,677915.0
6903,355000.0
3930,1380000.0
10325,750000.0
933,891000.0
7178,225000.0
17605,451000.0
14659,499000.0
17878,239000.0
12524,1030000.0
11212,425000.0
8354,587000.0
2009,305000.0
13421,690000.0
8145,1870000.0
2874,720000.0
16595,275000.0
1037,380000.0
20395,653000.0
2704,383000.0
4848,199950.0
13322,440000.0
3357,454000.0
13526,230000.0
13008,360000.0
19650,425000.0
10388,433000.0
9237,475000.0
13815,435000.0
15925,237000.0
11262,205000.0
18182,760000.0
15015,299500.0
7834,323000.0
15392,650000.0
5000,430000.0
9729,518000.0
11222,431000.0
14274,665000.0
9660,357000.0
1540,375000.0
9829,830000.0
2697,250000.0
2286,517100.0
4999,525000.0
19409,356000.0
14513,360000.0
21098,1140000.0
13882,243500.0
13447,475999.0
15969,185000.0
16970,339000.0
6216,650000.0
17795,510000.0
10274,562000.0
10723,585000.0
20030,498000.0
10199,400000.0
19162,735000.0
15609,375000.0
10608,860000.0
17866,306000.0
13800,600000.0
14588,720000.0
8863,408000.0
10911,582500.0
7661,1470000.0
1333,567500.0
7268,485000.0
16601,665000.0
11678,412000.0
11040,398000.0
1984,430000.0
16792,150000.0
2435,737500.0
11072,814950.0
9042,226800.0
12292,280000.0
6836,675000.0
19261,1520000.0
16649,470000.0
11176,442250.0
10154,445000.0
18938,410000.0
3920,1500000.0
16394,598500.0
5376,319900.0
11206,425000.0
7289,375000.0
6425,354500.0
8729,335000.0
7744,725000.0
2813,925000.0
9315,551000.0
536,452000.0
16674,347500.0
1139,625000.0
21395,288790.0
4116,661000.0
468,340500.0
18697,306000.0
16664,305000.0
11466,419000.0
5948,725995.0
14833,825000.0
617,485000.0
7517,579000.0
1310,537250.0
1012,538200.0
15648,375000.0
7563,395000.0
5300,430000.0
3251,575000.0
3547,355000.0
7110,215000.0
6689,490000.0
14238,196000.0
17198,705000.0
5236,610000.0
9897,518000.0
14415,500000.0
7488,515000.0
9960,235000.0
17477,361600.0
2209,276000.0
13181,245000.0
289,500000.0
1121,975000.0
2656,500000.0
3478,595000.0
13444,634950.0
7885,243000.0
17433,530000.0
15926,200500.0
15299,340000.0
5518,230000.0
11183,310000.0
17517,249000.0
21583,810000.0
3526,445000.0
18519,490000.0
1835,243000.0
20881,1940000.0
17458,960000.0
10948,440000.0
21258,590000.0
1042,197500.0
10883,297262.0
11518,560000.0
